firstname,lastname,team,trueShooting,usage,assist,rebound,defensive,blocks
Merry,Milde,Burkina Faso,57.5,27.4,66.06,7.91,69.79,11.96
Minne,Aurelio,Turkmenistan,57.5,63.02,70.47,99.06,80.31,87.81
Merle,Shaver,Saudi Arabia,37.05,63.66,12.74,49.11,96.91,61.45
Britni,Gaynor,Nauru,69.1,53.73,74.69,7.79,79.87,60.51
Carmela,Firmin,Sudan,49,31.36,56.48,52.84,66.9,69.15
Melodie,Elsinore,Netherlands,55.34,68.31,62.55,20.15,45.11,31.94
Goldie,Salvidor,Norway,98.16,27.01,26.4,7.07,99.85,19.04
Dulcinea,Jacobah,"Macedonia, The Former Yugoslav Republic of",10.12,29.32,94.67,56.39,54.82,92.73
Karlee,Cristi,Kenya,13.06,10.58,14.16,31.76,29.21,97.52
Emilia,Philipp,Bosnia and Herzegovina,42.7,98.01,33.69,21.87,6.17,77.17
Dominga,Grimbly,"Lao People""S Democratic Republic",36.79,60.3,73.4,95.8,34.68,94.72
Eugine,Kunin,Comoros,5.12,58.65,46.46,93.23,5.57,54.37
Tersina,Stuart,Holy See (Vatican City State),37.09,40.62,54.73,71.65,58.15,87.41
Frank,Helve,Equatorial Guinea,21.86,94.45,69.1,40.75,53.73,90.5
Pearline,Dorcy,Jersey,12.82,57.82,66.2,1.51,15.97,9.04
Regina,Hamil,Bahamas,67.85,32.62,36.06,18.68,63.61,82.86
Justinn,Bearnard,Liechtenstein,31.53,35.46,25.2,61.25,39.18,91.36
Farrah,McCutcheon,Turkmenistan,24.7,30.95,64.03,41.27,51.73,31.72
Brietta,Gualtiero,Liberia,16.76,17.62,98.73,32.75,55.5,44.17
Sindee,Tamsky,Qatar,99.74,21.54,34.57,32.78,69.02,25.67
Flo,Orelee,Finland,59.82,15.82,57.1,6.91,24.68,47.75
Lorie,Old,Paraguay,100.85,28.08,28.01,78.39,5.19,37.61
Brianna,Ochs,Kyrgyzstan,97.08,90.09,7.37,7.6,20.05,100.14
Fredericka,Tryck,"Micronesia, Federated States of",100.2,58.49,26.8,63.77,14.02,58.07
Chere,Tomasina,Sao Tome and Principe,86.83,34.24,74.52,81.61,15.13,93.52
Fanny,Lalitta,Bosnia and Herzegovina,26.02,10.8,87.51,86.56,87.21,86.62
Tatiania,Valoniah,Turkey,48.39,66.99,59.89,11.74,75.55,19.92
Christian,Juliet,Palau,23.12,14.03,50.81,3.44,60.36,45.74
Correy,Quinn,Seychelles,76.43,39.22,47.38,20.48,33.38,42.13
Joelly,Bow,Equatorial Guinea,64.54,84.71,93.57,26.64,29.74,84.7
Ekaterina,Smitt,Turkey,52.8,61.67,18.09,58.69,56.1,32.65
Danika,Sikorski,Suriname,63.65,61.91,49.61,6.93,22.3,4.26
Konstance,Loeb,Montserrat,86.01,50.72,79.76,30.27,35.83,26.46
