firstname,lastname,team,trueShooting,usage,assist,rebound,defensive,blocks
Korrie,Korey,Latvia,59.67,60.55,32.02,73.85,15.26,47.4
Danika,Truc,Montserrat,85.6,25.44,10.14,55.63,9.37,75.04
Debee,O'Carroll,Thailand,50.26,54.04,100.75,38.91,34.76,26.05
Mureil,Fabiola,Oman,60.88,94.04,62.58,95.74,78.22,51.18
Elka,Granoff,Madagascar,85.58,100.73,17.87,80.92,15.9,7.32
Letizia,Skurnik,Argentina,28,86.74,20.13,50.03,70.52,82.53
Thalia,Ader,"Virgin Islands, British",56.22,16.38,53.91,89.39,79.56,90.66
Louella,Seagraves,Papua New Guinea,50.9,22.45,38.97,99.25,45.35,7.19
Elyssa,Masao,Burundi,67.48,81.48,86.42,57.67,67.51,84.15
Tressa,Kimmie,Mayotte,64.13,47.11,65.68,58.75,15.16,89.06
Kore,Alisia,Antarctica,30.27,83.87,73.5,91.22,42.32,51.15
Phylis,Roscoe,Luxembourg,61.46,28.55,32.83,28.98,23.96,90.43
Viki,Raimondo,Lithuania,64.59,14.89,76.38,25.67,46.63,31.11
Annecorinne,Maples,Brunei Darussalam,62.86,57.23,58.14,32.28,57.57,59.3
Giustina,Greyson,Isle of Man,54.15,79.33,45.5,100.99,35.92,53.39
Madeleine,Noman,Tunisia,58.42,14.22,69.36,25.82,3.1,80.89
Jasmina,Corabella,Panama,43.64,17.39,4.79,91.74,65.53,15.95
Julieta,Rogerio,Cocos (Keeling) Islands,15.53,92.71,87.24,35.49,26.81,12.07
Jacquetta,Nester,British Indian Ocean Territory,29.99,82.62,61.31,26.96,82.6,15.14
Binny,Schroth,Peru,69.91,69.96,63.62,51.67,37.71,93.41
Marti,Infield,Sierra Leone,4.62,22.49,14.92,79.5,40.78,1.33
Sybille,Guildroy,Mauritius,60.47,47.73,93.79,48.9,42.42,32.12
Bernardine,Zetta,AndorrA,73.11,46.71,97.03,71.54,56.3,63.62
Madelle,Velick,Montserrat,35.79,71.08,40.04,97.31,13,93.42
Gavrielle,Celestine,Isle of Man,16.97,1.47,36.1,61.06,97.04,99.19
Maisey,McAdams,"Cote D""Ivoire",42.71,22.9,38.96,12.73,23.08,56.83
Bill,Geffner,Wallis and Futuna,81.8,68.01,93.05,15.53,53.75,79.76
Blake,Hull,Belize,29.85,69.92,30.09,90.43,68.85,54.19
Kathy,Elephus,Armenia,18.54,54.8,32.92,86.92,83.85,38.19
Tiffie,Kronfeld,Maldives,24.38,63.59,85.4,78.17,39.97,20.86
Susan,Sandye,AndorrA,3.78,16.89,23.83,40.9,68.17,95.88
Gerrie,Blisse,Solomon Islands,7.76,19.32,94.72,42.87,17.99,86.99
Kore,Catie,Guinea-Bissau,93.12,86.31,37.74,63.08,42.9,57.76
Stacey,Hashim,Russian Federation,64.66,2.92,43.07,99,73.02,29.85
Calla,Emerson,Botswana,42.48,72.5,19.59,31.18,52.6,57.63
Jaime,Middleton,Guernsey,43.16,90.6,49.89,8.43,15.79,99.86
Ernesta,Wandie,Georgia,48.44,42.39,52.41,65.52,6.42,45.74
Kimmy,Aida,Guadeloupe,3.53,31.73,59.92,72.18,87.69,64.43
Nadine,Winthorpe,Peru,52.58,1.58,86.6,20.66,72.97,56.96
Allyce,Suk,Uruguay,2.77,24.77,42.64,60.16,32.75,57.99
Candi,Carvey,"Cote D""Ivoire",45.91,70.94,40.26,46.07,28.02,73.06
Renae,Obed,Colombia,56.99,100.59,89.13,30.34,34.81,79.08
Trixi,Urias,Gibraltar,66.94,21.79,98.75,22.28,34.13,74.39
Barbara,Thilda,Marshall Islands,11.59,1.26,60.35,20.87,31.59,10.66
Caryl,Birdella,United Kingdom,82.12,89.56,42.34,47.38,67.45,22.17
Caryl,Lipson,Cuba,53.11,99.33,67.57,86.79,64.05,94.96
Kore,Allare,Peru,29.77,62.27,5.81,94.91,100.46,36.55
Laurene,Hepsibah,Spain,82.86,92.25,80.76,97.55,6.29,74.46
Jillayne,Philoo,Netherlands,68.88,5.92,75.74,62.55,25.37,23.5
Alameda,Trinetta,Chile,71.04,92.84,27.81,44.57,59.24,69.05
Berget,Seessel,Bangladesh,65.53,94.53,2.95,46.45,61.23,31.43
Verla,Kevon,Azerbaijan,27.26,64.35,56.1,80.38,84.11,71.63
Janis,Meter,Sri Lanka,64.75,99.6,61.21,25.03,28.84,23.83
Phedra,Alva,Madagascar,77.24,22.72,13.46,15.6,95.88,38.12
Xylina,Edvard,Bahrain,82.79,7.44,16.48,33.9,28.09,45.09
Consuela,Lasley,Namibia,39.09,97.11,66.5,74.14,23.43,86.06
Gilligan,Creamer,Algeria,35.91,29.99,69.36,93.89,62.68,48.21
Kathy,Bartlett,Ukraine,20.52,63.1,32.16,81.81,96.23,13.41
Andree,Boycey,United Arab Emirates,71.96,45.84,75.4,64.49,55.09,94.77
Ebonee,Vilma,Paraguay,100.38,95.52,4.43,69.53,73.68,34.62
Hayley,Santoro,"Iran, Islamic Republic Of",90.24,23.6,37.73,37.78,62.6,23.77
Mara,Chrystel,Antarctica,42.51,89.44,67.8,19.54,87.16,61.48
Fina,Uird,New Caledonia,42.65,18.43,71.73,23.63,75.63,88.74
Carmela,Pearse,Kazakhstan,14.98,59.09,12.61,74.43,55.89,20.68
Sissy,Tristram,Lesotho,12.51,46.77,52.78,20.25,26.25,37.76
Hildegaard,Linskey,"Korea, Democratic People""S Republic of",88.78,83.17,77.99,52.49,12.18,89.53
Maye,Adrienne,Mexico,11.42,20.47,83.74,73.56,21.98,91.22
Henriette,Chauncey,Iraq,15.6,20.26,11.08,46.75,81.47,75.48
Laure,Latini,Kazakhstan,20.17,43.26,76.41,55.04,100.69,80.97
Shaine,Noam,French Guiana,99.59,92.64,11.46,11.34,20.48,89.98
Minda,Gherardo,Poland,36.43,12.62,88.65,10.01,96.67,15.24
Imojean,Phaidra,Guatemala,62.65,64.85,5.88,80.97,24.59,95.19
Charissa,Helfand,Mozambique,68.28,59.03,56.39,91.72,90.71,35.34
Tracey,Zrike,Albania,53.73,63.89,74.29,1.99,81.6,45.43
Berget,Barbey,Christmas Island,84.81,16.24,51.07,86.72,3.05,89.67
Jere,Ezar,"Micronesia, Federated States of",61.64,8.85,35.49,48.56,12.48,30.66
Ashlee,Odysseus,Vanuatu,25.97,33.89,12.18,94.93,16.55,50.2
Karolina,Israeli,Bolivia,55.41,44.74,30.28,36.28,41.26,45.61
Quintina,Suanne,Bosnia and Herzegovina,42.77,46.15,35.63,36.19,56.44,97.05
Frances,Durante,Malta,28.77,99.86,89.56,75.36,60.9,48.39
Charlena,Brandice,Marshall Islands,30.45,63.69,66.62,19,19.95,46.04
Ardeen,Masao,Iraq,20.96,7.73,41.94,76.66,33.01,88.73
Sam,Heidt,Pakistan,11.33,43.46,57.54,96.66,67.16,57.82
Cecile,Sheedy,Nauru,11.97,87.38,55.67,75.28,85.45,78.26
Sandie,Merell,AndorrA,55.69,14.22,36.09,25.71,52.68,97.95
Theodora,Morrill,"Virgin Islands, U.S.",48.94,71.37,44.94,20.37,18.61,64.62
Fawne,Auberbach,Nepal,59.55,77.57,90.41,3.21,51.77,44.35
Steffane,Fairweather,Japan,39.17,47.28,12.36,46.09,10.47,99.6
Ottilie,Vernier,Belarus,18.37,20.1,63.02,33.12,40.35,91.33
Sallie,Schwejda,Bulgaria,100.37,29.91,85.03,38.11,31.19,70.06
Cristabel,Gale,Qatar,16.31,17.58,66.59,48.71,11.72,69.42
Marita,Peonir,Marshall Islands,43.16,20.03,61.11,95.4,79.53,93.49
Ernesta,Garbe,Mexico,4.02,78.16,51.64,96.85,75.4,66.35
Gwyneth,Vanni,Nauru,34.5,1.5,57,3,15.36,29.67
Kimberley,Kannry,Switzerland,92.8,67.57,95.32,28.76,9.54,92.11
Viviene,Pattin,Ukraine,88.38,57.33,3.96,62.12,23.29,54.89
Leona,Tannie,Comoros,98.77,52.54,43.31,70.44,11.45,58.82
Glenda,Leonard,"Lao People""S Democratic Republic",4.46,50.01,72.13,36.04,95.59,6.39
Joy,Tayib,United States,7.04,45.27,20.27,71.76,83.21,1.27
Tabbatha,Gahl,Bulgaria,6.06,35.72,4.9,93.16,66.37,29.29
Harmonia,Wyn,Slovakia,75.05,39.1,48.76,1.35,64.32,88.87
Yetty,Kaja,Ireland,98.08,99.39,52.38,18.94,44.23,13.35
Angelique,Taima,"Palestinian Territory, Occupied",40.17,74.31,92.05,33.1,19.96,27.23
Hayley,Rese,Bulgaria,55.33,62.47,73.69,44.77,21.39,8.2
Anthia,Goode,Saint Vincent and the Grenadines,18.1,91.83,3.47,31.75,3.1,4.58
Pollyanna,Phyllis,Syrian Arab Republic,61.85,53.15,7.18,74.93,14.57,66.32
Karena,Henrie,"Moldova, Republic of",30.84,37.17,94.18,39.08,48.28,40.94
Aryn,Randene,Dominican Republic,24.06,5.4,13.58,67.03,74.62,95.92
Chrystel,Elvyn,Saint Helena,41.42,54.59,6.95,6.42,44.22,63.44
Wanda,Jillane,Armenia,31.75,84.72,33.63,37.35,78.26,47.96
Natka,Bearnard,Dominica,74.53,13.64,30.31,29.12,31.86,96.49
Farrah,Anastatius,Solomon Islands,21.03,95.88,64.81,48.5,9.74,18.92
Esmeralda,Pacorro,Iceland,17.1,64.6,31.61,35.21,56.02,36.42
Kary,Wenda,Switzerland,7.53,60.16,64.33,33.82,49.68,20.22
Frances,Morrill,Bahrain,58.64,44.41,92,42.84,54.97,92.89
Carlie,Borrell,Czech Republic,27.1,97.57,25.25,69.2,37.3,53.36
Merrie,Ulphia,Germany,92.31,14.27,70.75,28.23,79.74,92.64
Noelle,Raffo,United Kingdom,60.1,41.41,26.79,100.46,69.59,83.49
Aimil,Monaco,Ukraine,86.61,7.75,2.66,31.72,16.32,30.31
Beverley,Phyllis,China,33.85,4.61,4.57,93.51,43.87,51.6
Justinn,Elisha,Ecuador,9.94,99.61,6.74,4.69,88.98,53.78
Drucie,Robertson,Bulgaria,6.32,9.06,35.92,72.28,93.02,6.93
Gui,Katrine,Malta,2.71,62.14,75.22,20.65,93.26,47.06
Pamella,Urias,Colombia,4.44,27.22,38.17,7.02,9.45,34.98
Consuela,Rozanna,Portugal,32.97,97.92,34.95,83.16,40.52,68.05
